antecedent,consequent,support,confidence,lift
JAM MAKING SET PRINTED,FLORAL FOLK STATIONERY SET,0.0878,0.4628,4.2073
FLORAL FOLK STATIONERY SET,JAM MAKING SET PRINTED,0.0878,0.7982,4.2073
MODERN FLORAL STATIONERY SET,JAM MAKING SET PRINTED,0.0858,0.7944,4.1875
JAM MAKING SET PRINTED,MODERN FLORAL STATIONERY SET,0.0858,0.4521,4.1875
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.1171,0.7296,4.1792
RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.1171,0.6705,4.1792
SKULL SHOULDER BAG,RED RETROSPOT CHARLOTTE BAG,0.0827,0.6949,3.9807
RED RETROSPOT CHARLOTTE BAG,SKULL SHOULDER BAG,0.0827,0.474,3.9807
JAM MAKING SET PRINTED,NATURAL SLATE HEART CHALKBOARD,0.0858,0.4521,3.8626
NATURAL SLATE HEART CHALKBOARD,JAM MAKING SET PRINTED,0.0858,0.7328,3.8626
SKULL SHOULDER BAG,JAM MAKING SET PRINTED,0.0868,0.7288,3.8418
JAM MAKING SET PRINTED,SKULL SHOULDER BAG,0.0868,0.4574,3.8418
WOODLAND CHARLOTTE BAG,ALARM CLOCK BAKELIKE GREEN,0.0827,0.5157,3.758
ALARM CLOCK BAKELIKE GREEN,WOODLAND CHARLOTTE BAG,0.0827,0.6029,3.758
PAPER CHAIN KIT 50'S CHRISTMAS,ALARM CLOCK BAKELIKE GREEN,0.0807,0.5096,3.713
ALARM CLOCK BAKELIKE GREEN,PAPER CHAIN KIT 50'S CHRISTMAS,0.0807,0.5882,3.713
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0807,0.5714,3.7012
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0807,0.5229,3.7012
JAM MAKING SET WITH JARS,SET OF 4 PANTRY JELLY MOULDS,0.0827,0.4581,3.6318
SET OF 4 PANTRY JELLY MOULDS,JAM MAKING SET WITH JARS,0.0827,0.656,3.6318
CHARLOTTE BAG SUKI DESIGN,RECIPE BOX PANTRY YELLOW DESIGN,0.0807,0.5369,3.5951
RECIPE BOX PANTRY YELLOW DESIGN,CHARLOTTE BAG SUKI DESIGN,0.0807,0.5405,3.5951
JAM MAKING SET PRINTED,RECIPE BOX PANTRY YELLOW DESIGN,0.1009,0.5319,3.5617
RECIPE BOX PANTRY YELLOW DESIGN,JAM MAKING SET PRINTED,0.1009,0.6757,3.5617
PAPER CHAIN KIT 50'S CHRISTMAS,VINTAGE SNAP CARDS,0.0827,0.5223,3.5452
VINTAGE SNAP CARDS,PAPER CHAIN KIT 50'S CHRISTMAS,0.0827,0.5616,3.5452
RED TOADSTOOL LED NIGHT LIGHT,WOODLAND CHARLOTTE BAG,0.0817,0.5664,3.5304
WOODLAND CHARLOTTE BAG,RED TOADSTOOL LED NIGHT LIGHT,0.0817,0.5094,3.5304
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.0868,0.4456,3.4771
LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.0868,0.6772,3.4771
PACK OF 72 SKULL CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.0807,0.8081,3.4667
RECIPE BOX PANTRY YELLOW DESIGN,JAM MAKING SET WITH JARS,0.0928,0.6216,3.4415
JAM MAKING SET WITH JARS,RECIPE BOX PANTRY YELLOW DESIGN,0.0928,0.514,3.4415
6 RIBBONS RUSTIC CHARM,JAM MAKING SET PRINTED,0.0827,0.6508,3.4305
JAM MAKING SET PRINTED,6 RIBBONS RUSTIC CHARM,0.0827,0.4362,3.4305
JAM MAKING SET PRINTED,JAM MAKING SET WITH JARS,0.116,0.6117,3.3866
JAM MAKING SET WITH JARS,JAM MAKING SET PRINTED,0.116,0.6425,3.3866
PACK OF 72 RETROSPOT CAKE CASES,CHARLOTTE BAG PINK POLKADOT + WOODLAND CHARLOTTE BAG,0.0827,0.355,3.3825
CHARLOTTE BAG PINK POLKADOT + WOODLAND CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.0827,0.7885,3.3825
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.0868,0.4456,3.3709
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT,0.0868,0.6565,3.3709
PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.109,0.4675,3.3095
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.109,0.7714,3.3095
RED RETROSPOT CHARLOTTE BAG + STRAWBERRY CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.0807,0.7692,3.3
GREEN REGENCY TEACUP AND SAUCER,JAM MAKING SET WITH JARS,0.0898,0.5894,3.2631
JAM MAKING SET WITH JARS,GREEN REGENCY TEACUP AND SAUCER,0.0898,0.4972,3.2631
JAM MAKING SET PRINTED,VINTAGE SNAP CARDS,0.0908,0.4787,3.2494
VINTAGE SNAP CARDS,JAM MAKING SET PRINTED,0.0908,0.6164,3.2494
LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,0.0979,0.6299,3.2342
LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.0979,0.5026,3.2342
CHARLOTTE BAG PINK POLKADOT + RED RETROSPOT CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.0858,0.7456,3.1987
PACK OF 72 RETROSPOT CAKE CASES,CHARLOTTE BAG PINK POLKADOT + RED RETROSPOT CHARLOTTE BAG,0.0858,0.368,3.1987
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.1009,0.3953,3.1845
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.1009,0.813,3.1845
SET OF 3 CAKE TINS PANTRY DESIGN,JAM MAKING SET WITH JARS,0.0817,0.5745,3.1804
JAM MAKING SET WITH JARS,SET OF 3 CAKE TINS PANTRY DESIGN,0.0817,0.4525,3.1804
SET OF 3 CAKE TINS PANTRY DESIGN,JAM MAKING SET PRINTED,0.0858,0.6028,3.1777
JAM MAKING SET PRINTED,SET OF 3 CAKE TINS PANTRY DESIGN,0.0858,0.4521,3.1777
VINTAGE SNAP CARDS,JAM MAKING SET WITH JARS,0.0838,0.5685,3.1474
JAM MAKING SET WITH JARS,VINTAGE SNAP CARDS,0.0838,0.4637,3.1474
JAM MAKING SET PRINTED,RED TOADSTOOL LED NIGHT LIGHT,0.0858,0.4521,3.1333
RED TOADSTOOL LED NIGHT LIGHT,JAM MAKING SET PRINTED,0.0858,0.5944,3.1333
RED RETROSPOT CHARLOTTE BAG,LUNCH BAG  BLACK SKULL.,0.0848,0.4855,3.1245
LUNCH BAG  BLACK SKULL.,RED RETROSPOT CHARLOTTE BAG,0.0848,0.5455,3.1245
PACK OF 72 RETROSPOT CAKE CASES,RED RETROSPOT CHARLOTTE BAG + WOODLAND CHARLOTTE BAG,0.0848,0.3636,3.1066
RED RETROSPOT CHARLOTTE BAG + WOODLAND CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.0848,0.7241,3.1066
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.0979,0.3834,3.089
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.0979,0.7886,3.089
JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,0.0928,0.7863,3.08
JUMBO BAG RED RETROSPOT,JUMBO BAG APPLES,0.0928,0.3636,3.08
BOX OF 24 COCKTAIL PARASOLS,PACK OF 72 RETROSPOT CAKE CASES,0.0868,0.7167,3.0745
PACK OF 72 RETROSPOT CAKE CASES,BOX OF 24 COCKTAIL PARASOLS,0.0868,0.3723,3.0745
GREEN REGENCY TEACUP AND SAUCER,JAM MAKING SET PRINTED,0.0888,0.5828,3.072
JAM MAKING SET PRINTED,GREEN REGENCY TEACUP AND SAUCER,0.0888,0.4681,3.072
PACK OF 72 RETROSPOT CAKE CASES,STRAWBERRY CHARLOTTE BAG,0.0959,0.4113,3.0643
STRAWBERRY CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.0959,0.7143,3.0643
REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,0.0898,0.3938,3.0489
GREEN REGENCY TEACUP AND SAUCER + ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.0898,0.6953,3.0489
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.0918,0.3597,3.0466
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.0918,0.7778,3.0466
PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.108,0.4632,3.0002
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.108,0.6993,3.0002
REGENCY CAKESTAND 3 TIER,PAPER CHAIN KIT 50'S CHRISTMAS + PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0807,0.354,2.9983
PAPER CHAIN KIT 50'S CHRISTMAS + PAPER CHAIN KIT VINTAGE CHRISTMAS,REGENCY CAKESTAND 3 TIER,0.0807,0.6838,2.9983
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.1039,0.6821,2.9911
REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.1039,0.4558,2.9911
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.109,0.4779,2.9785
ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.109,0.6792,2.9785
CHARLOTTE BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.0848,0.5793,2.9746
LUNCH BAG RED RETROSPOT,CHARLOTTE BAG PINK POLKADOT,0.0848,0.4352,2.9746
PACK OF 60 PINK PAISLEY CAKE CASES,JAM MAKING SET WITH JARS,0.0827,0.5359,2.9672
JAM MAKING SET WITH JARS,PACK OF 60 PINK PAISLEY CAKE CASES,0.0827,0.4581,2.9672
LUNCH BAG RED RETROSPOT,CHARLOTTE BAG SUKI DESIGN,0.0868,0.4456,2.9637
CHARLOTTE BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.0868,0.5772,2.9637
JAM MAKING SET WITH JARS,ROSES REGENCY TEACUP AND SAUCER,0.0858,0.4749,2.9597
ROSES REGENCY TEACUP AND SAUCER,JAM MAKING SET WITH JARS,0.0858,0.5346,2.9597
CHARLOTTE BAG PINK POLKADOT,PACK OF 72 RETROSPOT CAKE CASES,0.1009,0.6897,2.9587
PACK OF 72 RETROSPOT CAKE CASES,CHARLOTTE BAG PINK POLKADOT,0.1009,0.4329,2.9587
LUNCH BAG RED RETROSPOT,RED RETROSPOT CHARLOTTE BAG,0.0999,0.513,2.9384
RED RETROSPOT CHARLOTTE BAG,LUNCH BAG RED RETROSPOT,0.0999,0.5723,2.9384
PAPER CHAIN KIT 50'S CHRISTMAS,JAM MAKING SET PRINTED,0.0878,0.5541,2.921
JAM MAKING SET PRINTED,PAPER CHAIN KIT 50'S CHRISTMAS,0.0878,0.4628,2.921
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.0858,0.7456,2.9206
LUNCH BAG RED RETROSPOT,WOODLAND CHARLOTTE BAG,0.0908,0.4663,2.9064
WOODLAND CHARLOTTE BAG,LUNCH BAG RED RETROSPOT,0.0908,0.566,2.9064
JAM MAKING SET PRINTED,CHARLOTTE BAG SUKI DESIGN,0.0827,0.4362,2.901
CHARLOTTE BAG SUKI DESIGN,JAM MAKING SET PRINTED,0.0827,0.5503,2.901
WOODLAND CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.108,0.673,2.887
PACK OF 72 RETROSPOT CAKE CASES,WOODLAND CHARLOTTE BAG,0.108,0.4632,2.887
FLORAL FOLK STATIONERY SET,JUMBO BAG RED RETROSPOT,0.0807,0.7339,2.8749
WOODLAND CHARLOTTE BAG,JAM MAKING SET PRINTED,0.0868,0.5409,2.8511
JAM MAKING SET PRINTED,WOODLAND CHARLOTTE BAG,0.0868,0.4574,2.8511
SUKI  SHOULDER BAG,JUMBO BAG RED RETROSPOT,0.0858,0.7265,2.8457
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.0878,0.7131,2.7933
PACK OF 60 PINK PAISLEY CAKE CASES,JAM MAKING SET PRINTED,0.0817,0.5294,2.7907
JAM MAKING SET PRINTED,PACK OF 60 PINK PAISLEY CAKE CASES,0.0817,0.4309,2.7907
WOODLAND CHARLOTTE BAG,REGENCY CAKESTAND 3 TIER,0.1019,0.6352,2.7854
REGENCY CAKESTAND 3 TIER,WOODLAND CHARLOTTE BAG,0.1019,0.4469,2.7854
RECYCLING BAG RETROSPOT,JUMBO BAG RED RETROSPOT,0.0817,0.7105,2.7831
SKULL SHOULDER BAG,JUMBO BAG RED RETROSPOT,0.0838,0.7034,2.7552
REGENCY CAKESTAND 3 TIER,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0848,0.3717,2.7284
PAPER CHAIN KIT VINTAGE CHRISTMAS,REGENCY CAKESTAND 3 TIER,0.0848,0.6222,2.7284
RED RETROSPOT CHARLOTTE BAG,PACK OF 72 RETROSPOT CAKE CASES,0.111,0.6358,2.7278
PACK OF 72 RETROSPOT CAKE CASES,RED RETROSPOT CHARLOTTE BAG,0.111,0.4762,2.7278
PACK OF 72 RETROSPOT CAKE CASES,CHARLOTTE BAG SUKI DESIGN,0.0949,0.4069,2.7065
CHARLOTTE BAG SUKI DESIGN,PACK OF 72 RETROSPOT CAKE CASES,0.0949,0.6309,2.7065
ALARM CLOCK BAKELIKE GREEN,REGENCY CAKESTAND 3 TIER,0.0838,0.6103,2.6761
REGENCY CAKESTAND 3 TIER,ALARM CLOCK BAKELIKE GREEN,0.0838,0.3673,2.6761
STRAWBERRY CHARLOTTE BAG,REGENCY CAKESTAND 3 TIER,0.0817,0.609,2.6705
REGENCY CAKESTAND 3 TIER,STRAWBERRY CHARLOTTE BAG,0.0817,0.3584,2.6705
PAPER CHAIN KIT 50'S CHRISTMAS,REGENCY CAKESTAND 3 TIER,0.0938,0.5924,2.5975
REGENCY CAKESTAND 3 TIER,PAPER CHAIN KIT 50'S CHRISTMAS,0.0938,0.4115,2.5975
RED RETROSPOT CHARLOTTE BAG,JAM MAKING SET PRINTED,0.0858,0.4913,2.5899
JAM MAKING SET PRINTED,RED RETROSPOT CHARLOTTE BAG,0.0858,0.4521,2.5899
CHARLOTTE BAG SUKI DESIGN,REGENCY CAKESTAND 3 TIER,0.0878,0.5839,2.5603
REGENCY CAKESTAND 3 TIER,CHARLOTTE BAG SUKI DESIGN,0.0878,0.385,2.5603
ALARM CLOCK BAKELIKE GREEN,PACK OF 72 RETROSPOT CAKE CASES,0.0807,0.5882,2.5236
REGENCY CAKESTAND 3 TIER,CHARLOTTE BAG PINK POLKADOT,0.0827,0.3628,2.4798
CHARLOTTE BAG PINK POLKADOT,REGENCY CAKESTAND 3 TIER,0.0827,0.5655,2.4798
PACK OF 72 RETROSPOT CAKE CASES,RECIPE BOX PANTRY YELLOW DESIGN,0.0858,0.368,2.4639
RECIPE BOX PANTRY YELLOW DESIGN,PACK OF 72 RETROSPOT CAKE CASES,0.0858,0.5743,2.4639
LUNCH BAG  BLACK SKULL.,PACK OF 72 RETROSPOT CAKE CASES,0.0868,0.5584,2.3957
PACK OF 72 RETROSPOT CAKE CASES,LUNCH BAG  BLACK SKULL.,0.0868,0.3723,2.3957
RECIPE BOX PANTRY YELLOW DESIGN,REGENCY CAKESTAND 3 TIER,0.0807,0.5405,2.3702
REGENCY CAKESTAND 3 TIER,RECIPE BOX PANTRY YELLOW DESIGN,0.0807,0.354,2.3702
VINTAGE SNAP CARDS,PACK OF 72 RETROSPOT CAKE CASES,0.0807,0.5479,2.3507
REGENCY CAKESTAND 3 TIER,RED RETROSPOT CHARLOTTE BAG,0.0918,0.4027,2.3065
RED RETROSPOT CHARLOTTE BAG,REGENCY CAKESTAND 3 TIER,0.0918,0.526,2.3065
JUMBO BAG RED RETROSPOT,RED RETROSPOT CHARLOTTE BAG,0.1019,0.3992,2.2868
RED RETROSPOT CHARLOTTE BAG,JUMBO BAG RED RETROSPOT,0.1019,0.5838,2.2868
PACK OF 72 RETROSPOT CAKE CASES,JAM MAKING SET PRINTED,0.0999,0.4286,2.2591
JAM MAKING SET PRINTED,PACK OF 72 RETROSPOT CAKE CASES,0.0999,0.5266,2.2591
PACK OF 72 RETROSPOT CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS,0.0827,0.355,2.2407
PAPER CHAIN KIT 50'S CHRISTMAS,PACK OF 72 RETROSPOT CAKE CASES,0.0827,0.5223,2.2407
JAM MAKING SET WITH JARS,REGENCY CAKESTAND 3 TIER,0.0918,0.5084,2.2292
REGENCY CAKESTAND 3 TIER,JAM MAKING SET WITH JARS,0.0918,0.4027,2.2292
RECIPE BOX PANTRY YELLOW DESIGN,JUMBO BAG RED RETROSPOT,0.0848,0.5676,2.2232
PACK OF 72 RETROSPOT CAKE CASES,LUNCH BAG RED RETROSPOT,0.1009,0.4329,2.2228
LUNCH BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,0.1009,0.5181,2.2228
PACK OF 72 RETROSPOT CAKE CASES,WHITE HANGING HEART T-LIGHT HOLDER,0.0878,0.3766,2.2085
WHITE HANGING HEART T-LIGHT HOLDER,PACK OF 72 RETROSPOT CAKE CASES,0.0878,0.5148,2.2085
CHARLOTTE BAG SUKI DESIGN,JUMBO BAG RED RETROSPOT,0.0848,0.5638,2.2082
PACK OF 72 RETROSPOT CAKE CASES,REGENCY CAKESTAND 3 TIER,0.1171,0.5022,2.202
REGENCY CAKESTAND 3 TIER,PACK OF 72 RETROSPOT CAKE CASES,0.1171,0.5133,2.202
PACK OF 72 RETROSPOT CAKE CASES,JAM MAKING SET WITH JARS,0.0918,0.3939,2.181
JAM MAKING SET WITH JARS,PACK OF 72 RETROSPOT CAKE CASES,0.0918,0.5084,2.181
JAM MAKING SET PRINTED,REGENCY CAKESTAND 3 TIER,0.0928,0.4894,2.1458
REGENCY CAKESTAND 3 TIER,JAM MAKING SET PRINTED,0.0928,0.4071,2.1458
LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.106,0.544,2.131
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.106,0.415,2.131
WHITE HANGING HEART T-LIGHT HOLDER,REGENCY CAKESTAND 3 TIER,0.0827,0.4852,2.1276
REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,0.0827,0.3628,2.1276
REGENCY CAKESTAND 3 TIER,LUNCH BAG RED RETROSPOT,0.0928,0.4071,2.0902
LUNCH BAG RED RETROSPOT,REGENCY CAKESTAND 3 TIER,0.0928,0.4767,2.0902
WHITE HANGING HEART T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,0.0908,0.5325,2.086
JUMBO BAG RED RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,0.0908,0.3557,2.086
JAM MAKING SET PRINTED,JUMBO BAG RED RETROSPOT,0.0999,0.5266,2.0627
JUMBO BAG RED RETROSPOT,JAM MAKING SET PRINTED,0.0999,0.3913,2.0627
WOODLAND CHARLOTTE BAG,JUMBO BAG RED RETROSPOT,0.0838,0.522,2.0447
JAM MAKING SET WITH JARS,JUMBO BAG RED RETROSPOT,0.0928,0.514,2.0132
JUMBO BAG RED RETROSPOT,JAM MAKING SET WITH JARS,0.0928,0.3636,2.0132
PACK OF 72 RETROSPOT CAKE CASES,JUMBO BAG RED RETROSPOT,0.0949,0.4069,1.5939
JUMBO BAG RED RETROSPOT,PACK OF 72 RETROSPOT CAKE CASES,0.0949,0.3715,1.5939
REGENCY CAKESTAND 3 TIER,JUMBO BAG RED RETROSPOT,0.0898,0.3938,1.5425
JUMBO BAG RED RETROSPOT,REGENCY CAKESTAND 3 TIER,0.0898,0.3518,1.5425
